freq (Hz),value(db(mag(getData("loopGain" ?result "stb"))) "Gain" -9) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "Gain" -7) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "Gain" -5) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "Gain" -3) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "Gain" -1) (dB)
1.000,96.85,94.66,91.74,87.30,77.76
1.585,96.85,94.66,91.74,87.30,77.76
2.512,96.85,94.66,91.74,87.30,77.76
3.981,96.85,94.66,91.74,87.30,77.76
6.310,96.85,94.66,91.74,87.30,77.76
10.00,96.85,94.66,91.74,87.30,77.76
15.85,96.85,94.66,91.74,87.30,77.76
25.12,96.85,94.66,91.74,87.30,77.76
39.81,96.85,94.66,91.74,87.30,77.76
63.10,96.85,94.66,91.74,87.30,77.76
100.0,96.84,94.66,91.74,87.30,77.76
158.5,96.84,94.66,91.74,87.30,77.76
251.2,96.84,94.65,91.73,87.29,77.75
398.1,96.82,94.64,91.72,87.28,77.74
631.0,96.79,94.61,91.68,87.25,77.70
1.000E3,96.70,94.52,91.60,87.16,77.62
1.585E3,96.50,94.32,91.39,86.96,77.41
2.512E3,96.02,93.84,90.92,86.48,76.94
3.981E3,95.01,92.83,89.91,85.47,75.93
6.310E3,93.19,91.01,88.09,83.65,74.11
10.00E3,90.50,88.31,85.39,80.95,71.41
15.85E3,87.15,84.97,82.04,77.61,68.06
25.12E3,83.44,81.26,78.33,73.90,64.35
39.81E3,79.56,77.38,74.45,70.02,60.47
63.10E3,75.61,73.43,70.50,66.07,56.52
100.0E3,71.63,69.45,66.52,62.09,52.54
158.5E3,67.64,65.45,62.53,58.09,48.55
251.2E3,63.64,61.46,58.53,54.10,44.55
398.1E3,59.64,57.46,54.54,50.10,40.56
631.0E3,55.64,53.46,50.54,46.10,36.56
1.000E6,51.64,49.46,46.54,42.10,32.56
1.585E6,47.64,45.46,42.54,38.10,28.56
2.512E6,43.64,41.46,38.53,34.10,24.55
3.981E6,39.64,37.45,34.53,30.09,20.55
6.310E6,35.63,33.45,30.52,26.09,16.54
10.00E6,31.61,29.43,26.51,22.07,12.53
15.85E6,27.57,25.38,22.46,18.03,8.483
25.12E6,23.46,21.28,18.35,13.92,4.374
39.81E6,19.20,17.02,14.10,9.659,116.5E-3
63.10E6,14.63,12.45,9.527,5.090,-4.453
100.0E6,9.508,7.325,4.403,-34.29E-3,-9.577
158.5E6,3.567,1.384,-1.539,-5.976,-15.52
251.2E6,-3.395,-5.578,-8.501,-12.94,-22.48
398.1E6,-11.42,-13.61,-16.53,-20.96,-30.51
631.0E6,-20.31,-22.49,-25.41,-29.85,-39.39
1.000E9,-29.54,-31.72,-34.65,-39.08,-48.62
1.585E9,-38.55,-40.73,-43.65,-48.09,-57.63
2.512E9,-47.08,-49.26,-52.19,-56.62,-66.16
3.981E9,-55.18,-57.36,-60.29,-64.72,-74.26
6.310E9,-62.91,-65.09,-68.02,-72.45,-81.99
10.00E9,-70.06,-72.24,-75.16,-79.60,-89.14
