freq (Hz),H(f) (dB)
1.000E3,-4.208E-6
1.122E3,-4.208E-6
1.259E3,-4.208E-6
1.413E3,-4.208E-6
1.585E3,-4.208E-6
1.778E3,-4.208E-6
1.995E3,-4.208E-6
2.239E3,-4.208E-6
2.512E3,-4.208E-6
2.818E3,-4.208E-6
3.162E3,-4.208E-6
3.548E3,-4.208E-6
3.981E3,-4.208E-6
4.467E3,-4.208E-6
5.012E3,-4.208E-6
5.623E3,-4.207E-6
6.310E3,-4.207E-6
7.079E3,-4.207E-6
7.943E3,-4.207E-6
8.913E3,-4.206E-6
10.00E3,-4.206E-6
11.22E3,-4.205E-6
12.59E3,-4.205E-6
14.13E3,-4.204E-6
15.85E3,-4.203E-6
17.78E3,-4.201E-6
19.95E3,-4.200E-6
22.39E3,-4.197E-6
25.12E3,-4.195E-6
28.18E3,-4.191E-6
31.62E3,-4.187E-6
35.48E3,-4.181E-6
39.81E3,-4.175E-6
44.67E3,-4.166E-6
50.12E3,-4.156E-6
56.23E3,-4.143E-6
63.10E3,-4.128E-6
70.79E3,-4.110E-6
79.43E3,-4.091E-6
89.13E3,-4.073E-6
100.0E3,-4.063E-6
112.2E3,-4.075E-6
125.9E3,-4.140E-6
141.3E3,-4.322E-6
158.5E3,-4.748E-6
177.8E3,-5.681E-6
199.5E3,-7.644E-6
223.9E3,-11.69E-6
251.2E3,-19.92E-6
281.8E3,-36.56E-6
316.2E3,-70.02E-6
354.8E3,-137.1E-6
398.1E3,-271.3E-6
446.7E3,-539.7E-6
501.2E3,-1.076E-3
562.3E3,-2.146E-3
631.0E3,-4.282E-3
707.9E3,-8.542E-3
794.3E3,-17.03E-3
891.3E3,-33.92E-3
1.000E6,-67.43E-3
1.122E6,-133.5E-3
1.259E6,-262.5E-3
1.413E6,-508.9E-3
1.585E6,-962.3E-3
1.778E6,-1.746
1.995E6,-2.983
2.239E6,-4.728
2.512E6,-6.930
2.818E6,-9.467
3.162E6,-12.21
3.548E6,-15.08
3.981E6,-18.01
4.467E6,-20.98
5.012E6,-23.96
5.623E6,-26.95
6.310E6,-29.95
7.079E6,-32.95
7.943E6,-35.95
8.913E6,-38.95
10.00E6,-41.95
11.22E6,-44.95
12.59E6,-47.95
14.13E6,-50.95
15.85E6,-53.95
17.78E6,-56.95
19.95E6,-59.95
22.39E6,-62.95
25.12E6,-65.95
28.18E6,-68.95
31.62E6,-71.95
35.48E6,-74.95
39.81E6,-77.95
44.67E6,-80.95
50.12E6,-83.95
56.23E6,-86.95
63.10E6,-89.95
70.79E6,-92.95
79.43E6,-95.95
89.13E6,-98.95
100.0E6,-101.9
